"Story","Title","Result","Date","Stability","Duration (s)"
"To Validate the Sanity Tests for SDK Application","To validate the Search","SUCCESS","2024-08-20T11:07:14.676+10:00","0.0","40.55"
"To Validate the Sanity Tests for SDK Application","To validate the Search","SUCCESS","2024-08-20T07:08:45.566+10:00","0.0","37.79"
"To Validate the Sanity Tests for SDK Application","To validate the Splice Report from Reports Dropdown","SUCCESS","2024-08-20T10:57:09.008+10:00","0.0","155.96"
"To Validate the Sanity Tests for SDK Application","To validate the Splice Report from Reports Dropdown","SUCCESS","2024-08-20T06:58:30.165+10:00","0.0","158.21"
"To Validate the Sanity Tests for SDK Application","To validate the Trace Report from Reports Dropdown","SUCCESS","2024-08-20T10:55:12.024+10:00","0.0","116.86"
"To Validate the Sanity Tests for SDK Application","To validate the Trace Report from Reports Dropdown","SUCCESS","2024-08-20T06:56:31.082+10:00","0.0","118.95"
"To Validate the Sanity Tests for SDK Application","To validate the WMTS","SUCCESS","2024-08-20T11:07:55.324+10:00","0.0","15.67"
"To Validate the Sanity Tests for SDK Application","To validate the WMTS","SUCCESS","2024-08-20T07:09:23.503+10:00","0.0","12.61"
"To Validate the Smoke Tests for SDK Application","Validating Theming for Graduated","SUCCESS","2024-08-20T11:55:53.386+10:00","0.0","103.35"
"To Validate the Smoke Tests for SDK Application","Validating Theming for Rules","SUCCESS","2024-08-06T12:05:28.502+10:00","0.0","65.91"
