"Story","Title","Result","Date","Stability","Duration (s)"
"To Validate the Smoke Tests for SDK Application","To Validate the Clear Option","FAILURE","2024-08-19T08:08:56.125+10:00","0.0","0.43"
"To Validate the Smoke Tests for SDK Application","To Validate the Go to Location","FAILURE","2024-08-19T08:07:48.796+10:00","0.0","0.03"
"To Validate the Smoke Tests for SDK Application","To Validate the OSM and GOOGLE Place","FAILURE","2024-08-19T08:16:03.135+10:00","0.0","0.07"
"To Validate the Smoke Tests for SDK Application","To Validate the Previous View and Next View","FAILURE","2024-08-19T08:10:50.734+10:00","0.0","0.03"
"To Validate the Smoke Tests for SDK Application","To Validate the Ruler","FAILURE","2024-08-19T08:07:38.451+10:00","0.0","0.14"
"To Validate the Smoke Tests for SDK Application","To Validate the Set Master Circuit on Fibers","FAILURE","2024-08-19T08:13:28.247+10:00","0.0","0.03"
"To Validate the Smoke Tests for SDK Application","To Validate the Share","FAILURE","2024-08-19T08:08:48.642+10:00","0.0","0.02"
"To Validate the Smoke Tests for SDK Application","To validate the LogOut icon","FAILURE","2024-08-19T08:16:13.370+10:00","0.0","0.02"
